event_index,timestamp,source_type,host_id,process_name,pid,parent_process,event_type,operation,object,bytes_written,entropy_before,entropy_after,dst_ip,domain,label,family
0,2026-06-26T11:58:37,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_read,read,C:\Users\User\Documents\file_4.txt,0,4.483100999519666,3.4897837076069527,,,benign,benign
1,2026-06-26T11:58:39,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_48.tmp,519,3.691748718557278,4.330448919262113,,,benign,benign
2,2026-06-26T11:58:41,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,registry_set,set,HKCU\Software\chrome\Settings,0,0.0,0.0,,,benign,benign
3,2026-06-26T11:58:43,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,network_connection,connect,api.tracker.gg,0,0.0,0.0,192.168.1.10,api.tracker.gg,benign,benign
4,2026-06-26T11:58:45,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_read,read,C:\Users\User\Documents\file_12.txt,0,3.4372759496072067,4.0107105762067246,,,benign,benign
5,2026-06-26T11:58:47,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_36.tmp,914,3.7900490323060088,3.8533124339755895,,,benign,benign
6,2026-06-26T11:58:49,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,registry_set,set,HKCU\Software\idman642build63\Settings,0,0.0,0.0,,,benign,benign
7,2026-06-26T11:58:51,simulated_behavior,lab-host-01,code.exe,1200,explorer.exe,network_connection,connect,api.tracker.gg,0,0.0,0.0,192.168.1.152,api.tracker.gg,benign,benign
8,2026-06-26T11:58:53,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,file_read,read,C:\Users\User\Documents\file_1.txt,0,4.517614734259535,3.31931863275378,,,benign,benign
9,2026-06-26T11:58:55,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_22.tmp,1238,2.388698749529454,4.4930326805169525,,,benign,benign
10,2026-06-26T11:58:57,simulated_behavior,lab-host-01,python.exe,1300,cmd.exe,registry_set,set,HKCU\Software\python\Settings,0,0.0,0.0,,,benign,benign
11,2026-06-26T11:58:59,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,google.com,0,0.0,0.0,192.168.1.99,google.com,benign,benign
12,2026-06-26T11:59:01,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_read,read,C:\Users\User\Documents\file_46.txt,0,4.694988732694919,4.207452062733783,,,benign,benign
13,2026-06-26T11:59:03,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,file_write,write,C:\Users\User\AppData\Local\Temp\log_47.tmp,1981,3.340570228636752,4.5327894099484265,,,benign,benign
14,2026-06-26T11:59:05,simulated_behavior,lab-host-01,idman642build63.exe,1400,explorer.exe,registry_set,set,HKCU\Software\idman642build63\Settings,0,0.0,0.0,,,benign,benign
15,2026-06-26T11:59:07,simulated_behavior,lab-host-01,chrome.exe,1100,explorer.exe,network_connection,connect,microsoft.com,0,0.0,0.0,192.168.1.214,microsoft.com,benign,benign
16,2026-06-26T11:59:09,simulated_behavior,lab-host-01,Valorant_Tracker.exe,1500,explorer.exe,file_read,read,C:\Users\User\Documents\file_47.txt,0,4.154704290513524,4.409143672429847,,,benign,benign
